Category,Company Name,Address,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
"Electric vehicle charging station","EESL Charging Station","Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156","Street Number 24Sub-Central Business District(Action Area 1)","New Town","WestBengal","700156","","","","","",
"Electric vehicle charging station","Mahindra Charging Station","Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156","Near Tank No 3Opp Goutams","New Town","WestBengal","700156","","https://www.withyouhamesha.com/ev-charging-station-locator.aspx","markerclustererplus@4.0.1","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059","Street Number 30AF Block(Newtown)","New Town","WestBengal","700059","098300 18044","https://www.plugshare.com/location/288089","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017","UnderMaa Flyover","Kolkata","WestBengal","700017","","","","5","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037","63Khudiram Bose Rd","Kolkata","WestBengal","700037","","","","3","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156","Mehman Kolkata RestaurantBF Block(Newtown)","NKDA","WestBengal","700156","","","","4","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028","292R N Guha Road","Kolkata","WestBengal","700028","","https://www.chargelist.com/","heretohelp@bp.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156","Millenium TowerMajor Arterial Road(South-East)","Kolkata","WestBengal","700156","","https://www.plugshare.com/location/288104","","","",
"Electric vehicle charging station","EESL Charging Station","Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156","Tata Cancer HospitalDH Block(Newtown)","New Town","WestBengal","700156","","","","5","1",
"Electric vehicle charging station","Mahindra Charging Station","HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059","HFP4+4QCAE Block(Newtown)","New Town","WestBengal","700059","079060 01402","http://emonitoring.electreefi.com/","","4.5","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156","NH34Jatragachhi","Kolkata","WestBengal","700156","","","","2.8","4",
"Electric vehicle charging station","NKDA Charging Station","Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156","Unnamed RoadJatragachhi","Kolkata","WestBengal","700156","","","","4","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157","%u0995%u09B2%u0995%u09BE%u09A4%u09BEGhuni Rd","New Town","WestBengal","700157","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052","AutomallService Rd","New Town","WestBengal","700052","","https://www.plugshare.com/location/329925","","","",
"Electric vehicle charging station","Electric Vehicle Charging Point","Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156","Plot No.2CPremises No.10","New Town","WestBengal","700156","","","","4","3",
"Electric vehicle charging station","Electric Vehicle Charging Station","Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068","Opp.Lake Police Stn./ Indian Oil Corp. H.OJodhpur Park","Kolkata","WestBengal","700068","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107","Second Floor 1644Rajdanga Pally","Kolkata","WestBengal","700107","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028","111aRishi Bankim Chandra Road","Kolkata","WestBengal","700028","","","","3","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028","10Mahendra Colony","Kolkata","WestBengal","700028","","","","4","13",
"Electric vehicle charging station","Electric Vehicle Charging Station","Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135","Nawabpur (New TownAction Area IIE","Kolkata","WestBengal","700135","","","","","",
"Electric vehicle charging station","EESL Charging Station","Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156","Street Number 24Sub-Central Business District(Action Area 1)","New Town","WestBengal","700156","","","","","",
"Electric vehicle charging station","Mahindra Charging Station","Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156","Near Tank No 3Opp Goutams","New Town","WestBengal","700156","","https://www.withyouhamesha.com/ev-charging-station-locator.aspx","markerclustererplus@4.0.1","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059","Street Number 30AF Block(Newtown)","New Town","WestBengal","700059","098300 18044","https://www.plugshare.com/location/288089","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017","UnderMaa Flyover","Kolkata","WestBengal","700017","","","","5","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037","63Khudiram Bose Rd","Kolkata","WestBengal","700037","","","","3","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156","Mehman Kolkata RestaurantBF Block(Newtown)","NKDA","WestBengal","700156","","","","4","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028","292R N Guha Road","Kolkata","WestBengal","700028","","https://www.chargelist.com/","heretohelp@bp.com","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156","Millenium TowerMajor Arterial Road(South-East)","Kolkata","WestBengal","700156","","https://www.plugshare.com/location/288104","","","",
"Electric vehicle charging station","EESL Charging Station","Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156","Tata Cancer HospitalDH Block(Newtown)","New Town","WestBengal","700156","","","","5","1",
"Electric vehicle charging station","Mahindra Charging Station","HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059","HFP4+4QCAE Block(Newtown)","New Town","WestBengal","700059","079060 01402","http://emonitoring.electreefi.com/","","4.5","2",
"Electric vehicle charging station","Electric Vehicle Charging Station","NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156","NH34Jatragachhi","Kolkata","WestBengal","700156","","","","2.8","4",
"Electric vehicle charging station","NKDA Charging Station","Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156","Unnamed RoadJatragachhi","Kolkata","WestBengal","700156","","","","4","1",
"Electric vehicle charging station","Electric Vehicle Charging Station","%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157","%u0995%u09B2%u0995%u09BE%u09A4%u09BEGhuni Rd","New Town","WestBengal","700157","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052","AutomallService Rd","New Town","WestBengal","700052","","https://www.plugshare.com/location/329925","","","",
"Electric vehicle charging station","Electric Vehicle Charging Point","Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156","Plot No.2CPremises No.10","New Town","WestBengal","700156","","","","4","3",
"Electric vehicle charging station","Electric Vehicle Charging Station","Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068","Opp.Lake Police Stn./ Indian Oil Corp. H.OJodhpur Park","Kolkata","WestBengal","700068","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107","Second Floor 1644Rajdanga Pally","Kolkata","WestBengal","700107","","","","","",
"Electric vehicle charging station","Electric Vehicle Charging Station","111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028","111aRishi Bankim Chandra Road","Kolkata","WestBengal","700028","","","","3","1",
