Category,Company Name,Address,Street Address,City,State,Zip,Mobile Number,Website Address,Email,Reviews Average,Count Of Review
"Petrol Pump","HP PETROL PUMP - HOWRAH MOTORS & ELECTRIC COMPANY","Bangabasi Cinema Hall, 5/C Mahatma Gandhi Road Howrah Maidan Near, Howrah Railway Station, Kolkata, West Bengal 711101","Bangabasi Cinema Hall5/C Mahatma Gandhi Road Howrah Maidan Near","Kolkata","WestBengal","711101","098311 28261","http://hpretail.in/","","3.9","73",
"Petrol Pump","HP Petrol Pump","7, Grand Trunk Rd, Howrah Railway Station, Tikiapara, Howrah, West Bengal 711101","7Grand Trunk Rd","Howrah","WestBengal","711101","","","","5","1",
"Petrol Pump","%u09B8%u09C7%u09A8 %u09AA%u09C7%u099F%u09CD%u09B0%u09CB%u09B2 %u09AA%u09BE%u09AE%u09CD%u09AA","34, Acharya Tulsi Marg, Mali Panchghara, Howrah, West Bengal 711106","34Acharya Tulsi Marg","Howrah","WestBengal","711106","","","","4.2","432",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Makin Bros.","BONBEHARI BOSE RD.,HOWRAH, Howrah, West Bengal 711101","BONBEHARI BOSE RD.HOWRAH","Howrah","WestBengal","711101","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","3.7","55",
"Petrol Pump","Bharat Petroleum","97/1, Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","97/1Upper Foreshore Rd","Howrah","WestBengal","711102","080174 10994","https://www.bharatpetroleum.in/","life-@-bpcl.aspx","4.3","9",
"Petrol Pump","Bharat Petroleum Petrol Pump -Aparna Energy Station","KONA EXP. II, Howrah, West Bengal 711104","KONA EXP. IIHowrah","Howrah","WestBengal","711104","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","3.9","346",
"Petrol Pump","Bharat Petroleum  Petrol Pump -Radha S/S","DR.ABANI DUTTA RD.,HOWRAH, Howrah, West Bengal 711101","DR.ABANI DUTTA RD.HOWRAH","Howrah","WestBengal","711101","","http://www.bharatpetroleum.in/","life-@-bpcl.aspx","4.4","12",
"Petrol Pump","Manu Filling Station","67, Benaras Rd, Bamangachi, Salkia, Howrah, West Bengal 711101","67Benaras Rd","Howrah","WestBengal","711101","091239 24346","","","3.9","63",
"Petrol Pump","Hindustan Petroleum Petrol Pump","103, 1A, Upper Foreshore Rd, Choura Bustee, Shibpur, Howrah, West Bengal 711102","1031A","Howrah","WestBengal","711102","","","","","",
"Petrol Pump","Mishra Service Station","1/1, Duke Road, Choura Bustee, Shibpur, Howrah, West Bengal 711102","1/1Duke Road","Howrah","WestBengal","711102","","","","","",
"Petrol Pump","HP Petrol pump","52/1, Deshapran Shasmal Rd, Kadam Tala, Howrah, West Bengal 711101","52/1Deshapran Shasmal Rd","Howrah","WestBengal","711101","","http://hpretail.in/","","3.7","71",
"Petrol Pump","Indian Oil Petrol Pump - Maidan Service Station","5k, Mahatma Gandhi Rd, Howrah Railway Station, Kadam Tala, Howrah, West Bengal 711101","5kMahatma Gandhi Rd","Howrah","WestBengal","711101","","http://www.indianoil.co.in/","last@indianoil.in","3.7","24",
"Petrol Pump","Indian Oil Petrol Pump","226-227, Grand Trunk Rd, Naora, Shibpur, Howrah, West Bengal 711102","226-227Grand Trunk Rd","Howrah","WestBengal","711102","","","","3.7","16",
