DateTime,Junction,Vehicles,ID
01-01-2017 00:00,1,27,20170101001
01-01-2017 01:00,1,23,20170101011
01-01-2017 02:00,1,17,20170101021
01-01-2017 03:00,1,16,20170101031
01-01-2017 04:00,1,16,20170101041
01-01-2017 05:00,1,14,20170101051
01-01-2017 06:00,1,14,20170101061
01-01-2017 07:00,1,18,20170101071
01-01-2017 08:00,1,20,20170101081
01-01-2017 09:00,1,22,20170101091
01-01-2017 10:00,1,21,20170101101
01-01-2017 11:00,1,24,20170101111
01-01-2017 12:00,1,20,20170101121
01-01-2017 13:00,1,21,20170101131
01-01-2017 14:00,1,26,20170101141
01-01-2017 15:00,1,30,20170101151
01-01-2017 16:00,1,32,20170101161
01-01-2017 17:00,1,27,20170101171
01-01-2017 18:00,1,34,20170101181
01-01-2017 19:00,1,36,20170101191
01-01-2017 20:00,1,39,20170101201
01-01-2017 21:00,1,40,20170101211
01-01-2017 22:00,1,38,20170101221
01-01-2017 23:00,1,37,20170101231
02-01-2017 00:00,1,34,20170102001
02-01-2017 01:00,1,29,20170102011
02-01-2017 02:00,1,27,20170102021
02-01-2017 03:00,1,22,20170102031
02-01-2017 04:00,1,24,20170102041
02-01-2017 05:00,1,19,20170102051
02-01-2017 06:00,1,20,20170102061
02-01-2017 07:00,1,22,20170102071
02-01-2017 08:00,1,31,20170102081
02-01-2017 09:00,1,38,20170102091
02-01-2017 10:00,1,58,20170102101
02-01-2017 11:00,1,63,20170102111
02-01-2017 12:00,1,65,20170102121
02-01-2017 13:00,1,52,20170102131
02-01-2017 14:00,1,62,20170102141
02-01-2017 15:00,1,71,20170102151
02-01-2017 16:00,1,64,20170102161
02-01-2017 17:00,1,59,20170102171
02-01-2017 18:00,1,54,20170102181
02-01-2017 19:00,1,56,20170102191
02-01-2017 20:00,1,54,20170102201
02-01-2017 21:00,1,59,20170102211
02-01-2017 22:00,1,67,20170102221
02-01-2017 23:00,1,53,20170102231
03-01-2017 00:00,1,49,20170103001
03-01-2017 01:00,1,38,20170103011
03-01-2017 02:00,1,33,20170103021
03-01-2017 03:00,1,31,20170103031
03-01-2017 04:00,1,25,20170103041
03-01-2017 05:00,1,25,20170103051
03-01-2017 06:00,1,34,20170103061
03-01-2017 07:00,1,32,20170103071
03-01-2017 08:00,1,43,20170103081
03-01-2017 09:00,1,50,20170103091
03-01-2017 10:00,1,63,20170103101
03-01-2017 11:00,1,82,20170103111
03-01-2017 12:00,1,82,20170103121
03-01-2017 13:00,1,67,20170103131
03-01-2017 14:00,1,80,20170103141
03-01-2017 15:00,1,79,20170103151
03-01-2017 16:00,1,77,20170103161
03-01-2017 17:00,1,73,20170103171
03-01-2017 18:00,1,76,20170103181
03-01-2017 19:00,1,77,20170103191
03-01-2017 20:00,1,77,20170103201
03-01-2017 21:00,1,83,20170103211
03-01-2017 22:00,1,81,20170103221
03-01-2017 23:00,1,67,20170103231
04-01-2017 00:00,1,66,20170104001
04-01-2017 01:00,1,51,20170104011
04-01-2017 02:00,1,46,20170104021
04-01-2017 03:00,1,41,20170104031
04-01-2017 04:00,1,40,20170104041
04-01-2017 05:00,1,32,20170104051
04-01-2017 06:00,1,37,20170104061
04-01-2017 07:00,1,38,20170104071
04-01-2017 08:00,1,42,20170104081
04-01-2017 09:00,1,49,20170104091
04-01-2017 10:00,1,65,20170104101
