DateTime,,Junction,Vehicles,ID
01-01-2017 00:00,,3,10,20170101003
01-01-2017 01:00,,3,6,20170101013
01-01-2017 02:00,,3,7,20170101023
01-01-2017 03:00,,3,7,20170101033
01-01-2017 04:00,,3,5,20170101043
01-01-2017 05:00,,3,3,20170101053
01-01-2017 06:00,,3,5,20170101063
01-01-2017 07:00,,3,6,20170101073
01-01-2017 08:00,,3,5,20170101083
01-01-2017 09:00,,3,10,20170101093
01-01-2017 10:00,,3,3,20170101103
01-01-2017 11:00,,3,8,20170101113
01-01-2017 12:00,,3,5,20170101123
01-01-2017 13:00,,3,8,20170101133
01-01-2017 14:00,,3,9,20170101143
01-01-2017 15:00,,3,11,20170101153
01-01-2017 16:00,,3,9,20170101163
01-01-2017 17:00,,3,8,20170101173
01-01-2017 18:00,,3,9,20170101183
01-01-2017 19:00,,3,10,20170101193
01-01-2017 20:00,,3,15,20170101203
01-01-2017 21:00,,3,12,20170101213
01-01-2017 22:00,,3,10,20170101223
01-01-2017 23:00,,3,12,20170101233
02-01-2017 00:00,,3,10,20170102003
02-01-2017 01:00,,3,10,20170102013
02-01-2017 02:00,,3,9,20170102023
02-01-2017 03:00,,3,6,20170102033
02-01-2017 04:00,,3,5,20170102043
02-01-2017 05:00,,3,6,20170102053
02-01-2017 06:00,,3,5,20170102063
02-01-2017 07:00,,3,7,20170102073
02-01-2017 08:00,,3,7,20170102083
02-01-2017 09:00,,3,11,20170102093
02-01-2017 10:00,,3,14,20170102103
02-01-2017 11:00,,3,18,20170102113
02-01-2017 12:00,,3,22,20170102123
02-01-2017 13:00,,3,24,20170102133
02-01-2017 14:00,,3,25,20170102143
02-01-2017 15:00,,3,25,20170102153
02-01-2017 16:00,,3,23,20170102163
02-01-2017 17:00,,3,20,20170102173
02-01-2017 18:00,,3,18,20170102183
02-01-2017 19:00,,3,25,20170102193
02-01-2017 20:00,,3,21,20170102203
02-01-2017 21:00,,3,24,20170102213
02-01-2017 22:00,,3,38,20170102223
02-01-2017 23:00,,3,31,20170102233
03-01-2017 00:00,,3,21,20170103003
03-01-2017 01:00,,3,14,20170103013
03-01-2017 02:00,,3,11,20170103023
03-01-2017 03:00,,3,9,20170103033
03-01-2017 04:00,,3,7,20170103043
03-01-2017 05:00,,3,8,20170103053
03-01-2017 06:00,,3,12,20170103063
03-01-2017 07:00,,3,14,20170103073
03-01-2017 08:00,,3,12,20170103083
03-01-2017 09:00,,3,18,20170103093
03-01-2017 10:00,,3,24,20170103103
03-01-2017 11:00,,3,29,20170103113
03-01-2017 12:00,,3,32,20170103123
03-01-2017 13:00,,3,22,20170103133
03-01-2017 14:00,,3,28,20170103143
03-01-2017 15:00,,3,29,20170103153
03-01-2017 16:00,,3,27,20170103163
03-01-2017 17:00,,3,24,20170103173
03-01-2017 18:00,,3,23,20170103183
03-01-2017 19:00,,3,22,20170103193
03-01-2017 20:00,,3,17,20170103203
03-01-2017 21:00,,3,24,20170103213
03-01-2017 22:00,,3,19,20170103223
03-01-2017 23:00,,3,20,20170103233
04-01-2017 00:00,,3,17,20170104003
04-01-2017 01:00,,3,12,20170104013
04-01-2017 02:00,,3,10,20170104023
04-01-2017 03:00,,3,10,20170104033
04-01-2017 04:00,,3,12,20170104043
04-01-2017 05:00,,3,5,20170104053
04-01-2017 06:00,,3,9,20170104063
04-01-2017 07:00,,3,11,20170104073
04-01-2017 08:00,,3,12,20170104083
04-01-2017 09:00,,3,13,20170104093
04-01-2017 10:00,,3,19,20170104103
04-01-2017 11:00,,3,25,20170104113
04-01-2017 12:00,,3,27,20170104123
04-01-2017 13:00,,3,29,20170104133
04-01-2017 14:00,,3,32,20170104143
04-01-2017 15:00,,3,29,20170104153
04-01-2017 16:00,,3,27,20170104163
04-01-2017 17:00,,3,32,20170104173
04-01-2017 18:00,,3,43,20170104183
04-01-2017 19:00,,3,31,20170104193
04-01-2017 20:00,,3,81,20170104203
04-01-2017 21:00,,3,47,20170104213
04-01-2017 22:00,,3,43,20170104223
04-01-2017 23:00,,3,36,20170104233
05-01-2017 00:00,,3,24,20170105003
05-01-2017 01:00,,3,18,20170105013
05-01-2017 02:00,,3,15,20170105023
05-01-2017 03:00,,3,12,20170105033
05-01-2017 04:00,,3,8,20170105043
05-01-2017 05:00,,3,8,20170105053
05-01-2017 06:00,,3,8,20170105063
05-01-2017 07:00,,3,11,20170105073
05-01-2017 08:00,,3,19,20170105083
05-01-2017 09:00,,3,19,20170105093
05-01-2017 10:00,,3,31,20170105103
05-01-2017 11:00,,3,32,20170105113
05-01-2017 12:00,,3,35,20170105123
05-01-2017 13:00,,3,25,20170105133
05-01-2017 14:00,,3,28,20170105143
05-01-2017 15:00,,3,31,20170105153
05-01-2017 16:00,,3,28,20170105163
05-01-2017 17:00,,3,26,20170105173
05-01-2017 18:00,,3,33,20170105183
05-01-2017 19:00,,3,23,20170105193
05-01-2017 20:00,,3,29,20170105203
05-01-2017 21:00,,3,25,20170105213
05-01-2017 22:00,,3,30,20170105223
05-01-2017 23:00,,3,26,20170105233
06-01-2017 00:00,,3,25,20170106003
06-01-2017 01:00,,3,15,20170106013
06-01-2017 02:00,,3,12,20170106023
06-01-2017 03:00,,3,11,20170106033
06-01-2017 04:00,,3,9,20170106043
06-01-2017 05:00,,3,10,20170106053
06-01-2017 06:00,,3,9,20170106063
06-01-2017 07:00,,3,11,20170106073
06-01-2017 08:00,,3,15,20170106083
06-01-2017 09:00,,3,15,20170106093
06-01-2017 10:00,,3,17,20170106103
06-01-2017 11:00,,3,24,20170106113
06-01-2017 12:00,,3,22,20170106123
06-01-2017 13:00,,3,20,20170106133
06-01-2017 14:00,,3,29,20170106143
06-01-2017 15:00,,3,26,20170106153
06-01-2017 16:00,,3,19,20170106163
06-01-2017 17:00,,3,30,20170106173
06-01-2017 18:00,,3,24,20170106183
06-01-2017 19:00,,3,27,20170106193
06-01-2017 20:00,,3,34,20170106203
06-01-2017 21:00,,3,39,20170106213
06-01-2017 22:00,,3,23,20170106223
06-01-2017 23:00,,3,21,20170106233
07-01-2017 00:00,,3,18,20170107003
07-01-2017 01:00,,3,12,20170107013
07-01-2017 02:00,,3,13,20170107023
07-01-2017 03:00,,3,7,20170107033
07-01-2017 04:00,,3,8,20170107043
07-01-2017 05:00,,3,8,20170107053
07-01-2017 06:00,,3,9,20170107063
07-01-2017 07:00,,3,8,20170107073
07-01-2017 08:00,,3,8,20170107083
07-01-2017 09:00,,3,15,20170107093
