DateTime,Junction,Vehicles,ID


2022-05-09 16:00:00,3,18,2
2022-05-09 16:00:00,3,11,2
2022-05-09 16:00:00,3,10,2
2022-05-09 17:00:00,3,11,2
2022-05-09 16:00:00,3,11,2
2022-05-09 16:00:00,3,12,2
2022-05-09 16:00:00,3,12,2
2022-05-09 17:00:00,3,9,2
2022-05-09 20:00:00,3,9,2
2022-05-09 21:00:00,3,9,2
2022-05-10 10:00:00,3,7,2
2022-05-10 11:00:00,3,8,2
2022-05-10 12:00:00,3,12,2
2022-05-10 13:00:00,3,17,2
2022-05-10 14:00:00,3,16,2
2022-05-10 15:00:00,3,23,2
2022-05-10 10:00:00,3,10,2
2022-05-10 11:00:00,3,9,2
2022-05-10 12:00:00,3,15,2
2022-05-10 10:00:00,3,8,2
2022-05-10 11:00:00,3,5,2
2022-05-10 12:00:00,3,19,2
2022-05-10 10:00:00,3,4,2
2022-05-10 11:00:00,3,8,2
2022-05-10 12:00:00,3,20,2
2022-05-10 10:00:00,3,7,2
2022-05-10 11:00:00,3,9,2
2022-05-10 12:00:00,3,13,2
2022-05-10 13:00:00,3,8,2
2022-05-10 11:00:00,3,7,2
2022-05-10 12:00:00,3,15,2
2022-05-10 13:00:00,3,16,2
2022-05-10 14:00:00,3,18,2
2022-05-10 15:00:00,3,19,2
2022-05-10 16:00:00,3,12,2
2022-05-10 17:00:00,3,13,2
2022-05-10 18:00:00,3,19,2
2022-05-10 11:00:00,3,11,2
