DateTime,Junction,Vehicles,ID


2022-05-09 16:00:00,4,6,3
2022-05-09 16:00:00,4,13,3
2022-05-09 16:00:00,4,14,3
2022-05-09 17:00:00,4,5,3
2022-05-09 16:00:00,4,10,3
2022-05-09 16:00:00,4,6,3
2022-05-09 16:00:00,4,12,3
2022-05-09 17:00:00,4,13,3
2022-05-09 20:00:00,4,5,3
2022-05-09 21:00:00,4,8,3
2022-05-10 10:00:00,4,9,3
2022-05-10 11:00:00,4,10,3
2022-05-10 12:00:00,4,10,3
2022-05-10 13:00:00,4,10,3
2022-05-10 14:00:00,4,11,3
2022-05-10 15:00:00,4,14,3
2022-05-10 10:00:00,4,7,3
2022-05-10 11:00:00,4,10,3
2022-05-10 12:00:00,4,13,3
2022-05-10 10:00:00,4,2,3
2022-05-10 11:00:00,4,7,3
2022-05-10 12:00:00,4,14,3
2022-05-10 10:00:00,4,9,3
2022-05-10 11:00:00,4,6,3
2022-05-10 12:00:00,4,9,3
2022-05-10 10:00:00,4,7,3
2022-05-10 11:00:00,4,11,3
2022-05-10 12:00:00,4,16,3
2022-05-10 13:00:00,4,18,3
