DateTime,Junction,Vehicles,ID
,,,
,,,
,,,
2022-05-09 16:00:00,1,10,0
2022-05-09 16:00:00,1,17,0
2022-05-09 17:00:00,1,11,0
2022-05-09 16:00:00,1,15,0
2022-05-09 16:00:00,1,10,0
2022-05-09 16:00:00,1,16,0
2022-05-09 17:00:00,1,13,0
2022-05-09 20:00:00,1,10,0
2022-05-09 21:00:00,1,9,0
2022-05-10 10:00:00,1,4,0
2022-05-10 11:00:00,1,9,0
2022-05-10 12:00:00,1,17,0
2022-05-10 13:00:00,1,15,0
2022-05-10 14:00:00,1,16,0
2022-05-10 15:00:00,1,16,0
2022-05-10 10:00:00,1,11,0
2022-05-10 11:00:00,1,9,0
2022-05-10 12:00:00,1,15,0
2022-05-10 10:00:00,1,13,0
2022-05-10 11:00:00,1,9,0
2022-05-10 12:00:00,1,13,0
2022-05-10 10:00:00,1,5,0
2022-05-10 11:00:00,1,10,0
2022-05-10 12:00:00,1,12,0
2022-05-10 10:00:00,1,8,0
2022-05-10 11:00:00,1,8,0
2022-05-10 12:00:00,1,15,0
2022-05-10 13:00:00,1,17,0
2022-05-10 11:00:00,1,12,0
2022-05-10 12:00:00,1,16,0
2022-05-10 13:00:00,1,16,0
2022-05-10 14:00:00,1,11,0
2022-05-10 15:00:00,1,11,0
2022-05-10 16:00:00,1,11,0
2022-05-10 17:00:00,1,9,0
2022-05-10 18:00:00,1,12,0
2022-05-10 11:00:00,1,9,0
